1721165390, 25.43
1721165391, 27.28
1721165392, 21.47
1721165393, 21.32
1721165394, 20.12
1721165395, 25.56
1721165396, 29.11
1721165397, 20.68
1721165398, 26.57
1721165399, 25.78
1721165400, 20.77
1721165401, 23.16
1721165402, 29.31
1721165403, 28.80
1721165404, 21.24
1721165405, 29.20
1721165406, 20.65
1721165407, 23.22
1721165408, 25.07
1721165409, 26.86
1721165410, 27.84
1721165411, 22.72
1721165412, 23.97
1721165413, 20.35
1721165414, 26.46
1721165415, 26.07
1721165416, 27.82
1721165417, 26.62
1721165418, 25.06
1721165419, 28.41
1721165420, 27.70
1721165421, 27.22
1721165422, 26.16
1721165423, 29.17
1721165424, 21.86
